Female,DeerYear,ReprodStatus,Calf,SeenInRut,Fecundity,Age
ADZ84,1987,Naive,,-1,0,3
ADZ84,1988,Naive,KID89,-1,1,4
ADZ84,1989,Winter yeld,KID90,-1,1,5
ADZ84,1990,Winter yeld,,-1,0,6
ADZ84,1991,True yeld,KID92,-1,1,7
ADZ84,1992,Milk,,-1,0,8
ADZ84,1993,True yeld,,-1,0,9
ADZ84,1994,True yeld,,0,0,10
AGA84,1987,Naive,,-1,0,3
AGA84,1988,Naive,,-1,0,4
AGA84,1989,Naive,,0,0,5
AGA84,1990,Naive,ION91,-1,1,6
ALB93,1996,Summer yeld,TAA97,-1,1,3
ALB93,1997,Summer yeld,TAA98,-1,1,4
ALB94,1997,Naive,MRN98,-1,1,3
ALB94,1998,Milk,MRN99,-1,1,4
ALB94,1999,Winter yeld,,-1,0,5
ALB94,2000,True yeld,MRN01,-1,1,6
ALD01,2004,Winter yeld,KRB05,-1,1,3
ALD03,2006,Naive,RHU07,0,1,3
ALD91,1994,Naive,ZAN95,-1,1,3
ALD91,1995,Summer yeld,ZAN96,-1,1,4
ALD91,1996,Milk,,-1,0,5
ALD91,1997,True yeld,ZAN98,-1,1,6
ALD91,1998,Milk,ZAN99,-1,1,7
ALD91,1999,Winter yeld,,-1,0,8
ALD94,1997,Milk,,-1,0,3
ALD94,1998,True yeld,,-1,0,4
ALD94,1999,True yeld,ETN00,-1,1,5
ALD94,2000,Milk,ETN01,-1,1,6
ALD94,2001,Milk,,-1,0,7
ALD94,2002,True yeld,ETN03,-1,1,8
ALD94,2003,Milk,ETN04,-1,1,9
ALD98,2001,Naive,ARD02,-1,1,3
ALD98,2002,Milk,,-1,0,4
ALD98,2003,True yeld,ARD04,-1,1,5
ALL13,2016,Naive,AUK17,-1,1,3
ALL13,2017,Winter yeld,,-1,0,4
ALL13,2018,True yeld,,-1,0,5
ALL13,2019,True yeld,AUK20,-1,1,6
ALL13,2020,Milk,,-1,0,7
ALL13,2021,True yeld,AUK22,-1,1,8
ALL13,2022,Milk,AUK23,-1,1,9
ALL19,2022,Naive,MRR23,-1,1,3
ALM80,1983,Naive,SLT84,0,1,3
ALM80,1984,Milk,,0,0,4
ALM80,1985,True yeld,SLT86,0,1,5
ALM80,1986,Milk,SLT87,-1,1,6
ALM80,1987,Milk,,0,0,7
ALM80,1988,True yeld,,0,0,8
ALM82,1985,Naive,AMA86,0,1,3
ALM82,1986,Milk,,0,0,4
ALM82,1987,True yeld,AMA88,0,1,5
ALM82,1988,Milk,,0,0,6
ALM84,1987,Naive,PIS88,0,1,3
ALM84,1988,Winter yeld,,0,0,4
AME15,2018,Naive,,-1,0,3
AME15,2019,Naive,VIL20,-1,1,4
AME15,2020,Milk,,-1,0,5
AME15,2021,True yeld,VIL22,-1,1,6
AME15,2022,Summer yeld,VIL23,-1,1,7
ANK89,1992,Naive,CSK93,-1,1,3
ANK89,1993,Milk,CSK94,-1,1,4
ANK89,1994,Summer yeld,CSK95,-1,1,5
ANK89,1995,Milk,CSK96,-1,1,6
ANK89,1996,Milk,CSK97,-1,1,7
ANK89,1997,Milk,CSK98,-1,1,8
ANK89,1998,Milk,CSK99,-1,1,9
ANK89,1999,Milk,,-1,0,10
ANK89,2000,True yeld,CSK01,-1,1,11
ANK89,2001,Winter yeld,,-1,0,12
ANK89,2002,True yeld,CSK03,0,1,13
ANK90,1993,Naive,,-1,0,3
ANK90,1994,Naive,FLG95,-1,1,4
ANK90,1995,Summer yeld,FLG96,-1,1,5
ANK90,1996,Summer yeld,FLG97,-1,1,6
ANK90,1997,Milk,FLG98,-1,1,7
ANK90,1998,Milk,,-1,0,8
ANK90,1999,True yeld,FLG00,-1,1,9
ANK90,2000,Milk,,-1,0,10
ANK90,2001,True yeld,,-1,0,11
ANK91,1994,Naive,COO95,-1,1,3
ANK91,1995,Summer yeld,COO96,-1,1,4
ANK91,1996,Winter yeld,COO97,-1,1,5
ANK91,1997,Milk,COO98,-1,1,6
ANM02,2005,Naive,,-1,0,3
ANM02,2006,Naive,ORA07,-1,1,4
ANM02,2007,Winter yeld,,-1,0,5
ANM02,2008,True yeld,ORA09,-1,1,6
ANM02,2009,Milk,,-1,0,7
ANM02,2010,True yeld,ORA11,-1,1,8
ANM02,2011,Summer yeld,ORA12,-1,1,9
ANM02,2012,Winter yeld,ORA13,-1,1,10
ANM02,2013,Summer yeld,ORA14,-1,1,11
ANM06,2009,Naive,,-1,0,3
ANM06,2010,Naive,URC11,-1,1,4
ANM06,2011,Winter yeld,,-1,0,5
ANM06,2012,True yeld,URC13,-1,1,6
ANM06,2013,Milk,,-1,0,7
ANM06,2014,True yeld,URC15,-1,1,8
ANM06,2015,Milk,URC16,-1,1,9
ANM06,2016,Winter yeld,,-1,0,10
ANM06,2017,True yeld,URC18,-1,1,11
ANT97,2000,Naive,MAV01,0,1,3
APA08,2011,Naive,,-1,0,3
APA08,2012,Naive,,-1,0,4
APA08,2013,Naive,MOH14,-1,1,5
APA08,2014,Summer yeld,,-1,0,6
APA08,2015,True yeld,,-1,0,7
APA08,2016,True yeld,,-1,0,8
APA10,2013,Naive,COM14,-1,1,3
APA10,2014,Milk,,-1,0,4
APA10,2015,True yeld,COM16,-1,1,5
APA10,2016,Milk,COM17,-1,1,6
APA10,2017,Summer yeld,COM18,-1,1,7
APA10,2018,Milk,COM19,-1,1,8
APA10,2019,Milk,COM20,-1,1,9
APA10,2020,Milk,COM21,-1,1,10
APA10,2021,Milk,COM22,-1,1,11
APA10,2022,Summer yeld,COM23,-1,1,12
APH91,1994,Milk,VEN95,-1,1,3
APH91,1995,Winter yeld,VEN96,-1,1,4
APH93,1996,Milk,,-1,0,3
APH93,1997,True yeld,DIA98,0,1,4
APH95,1998,Milk,,0,0,3
APO15,2018,Naive,PAW19,0,1,3
APO15,2019,Milk,,-1,0,4
APO15,2020,True yeld,PAW21,0,1,5
APO15,2021,Milk,PAW22,0,1,6
Apr-73,1976,Naive,,-1,0,3
Apr-73,1977,Naive,DAM78,-1,1,4
Apr-73,1978,Milk,,-1,0,5
Apr-73,1979,True yeld,DAM80,-1,1,6
Apr-73,1980,Milk,,-1,0,7
Apr-73,1981,True yeld,DAM82,-1,1,8
Apr-73,1982,Winter yeld,,0,0,9
Apr-73,1983,True yeld,DAM84,0,1,10
Apr-74,1977,Naive,VIC78,-1,1,3
Apr-74,1978,Milk,,-1,0,4
Apr-74,1979,True yeld,VIC80,-1,1,5
Apr-74,1980,Milk,,-1,0,6
Apr-75,1978,Naive,,0,0,3
Apr-75,1979,Naive,ALM80,-1,1,4
Apr-75,1980,Milk,,-1,0,5
Apr-75,1981,True yeld,ALM82,-1,1,6
Apr-75,1982,Milk,,-1,0,7
Apr-75,1983,True yeld,ALM84,0,1,8
Apr-75,1984,Milk,,0,0,9
Apr-75,1985,True yeld,ALM86,0,1,10
Apr-75,1986,Milk,,0,0,11
Apr-75,1987,True yeld,ALM88,0,1,12
Apr-76,1979,Naive,JAM80,-1,1,3
Apr-76,1980,Milk,,0,0,4
APRIC,1970,Naive,,0,0,3
APRIC,1971,Naive,,0,0,4
APRIC,1972,Naive,Apr-73,0,1,5
APRIC,1973,Milk,Apr-74,0,1,6
APRIC,1974,Milk,Apr-75,-1,1,7
APRIC,1975,Milk,Apr-76,0,1,8
APRIC,1976,Milk,,0,0,9
APRIC,1977,True yeld,Apr-78,0,1,10
APRIC,1978,Winter yeld,Apr-79,0,1,11
APRIC,1979,Milk,,-1,0,12
APRIC,1980,True yeld,Apr-81,-1,1,13
AQU91,1994,Naive,MGN95,0,1,3
AQU91,1995,Summer yeld,MGN96,0,1,4
ARA09,2012,Naive,LIA13,-1,1,3
ARA09,2013,Summer yeld,LIA14,-1,1,4
ARA09,2014,Milk,,-1,0,5
ARA09,2015,True yeld,LIA16,-1,1,6
ARA09,2016,Winter yeld,,-1,0,7
ARA09,2017,True yeld,LIA18,-1,1,8
ARA09,2018,Winter yeld,,-1,0,9
ARA09,2019,True yeld,LIA20,-1,1,10
ARA09,2020,Milk,LIA21,-1,1,11
ARA09,2021,Winter yeld,,-1,0,12
ARA09,2022,True yeld,LIA23,-1,1,13
ARA11,2014,Naive,ELA15,-1,1,3
ARA11,2015,Milk,,-1,0,4
ARA11,2016,True yeld,ELA17,-1,1,5
ARA15,2018,Naive,,-1,0,3
ARA15,2019,Naive,FAT20,0,1,4
ARE14,2017,Naive,NIA18,-1,1,3
ARE14,2018,Summer yeld,NIA19,-1,1,4
ARE14,2019,Milk,NIA20,-1,1,5
ARE14,2020,Milk,,-1,0,6
ARE14,2021,True yeld,NIA22,-1,1,7
