code,ObsYear,Age,LeftSpike,RightSpike,AvgSpike,DeerYear
ADZ79,1980,1,0,0,0,1979
ALB95,1996,1,7.5,7.5,7.5,1995
ALC91,1992,1,0,0,0,1991
ALD93,1994,1,1,1,1,1993
ALD96,1997,1,8,8,8,1996
ANK87,1988,1,1.75,1.75,1.75,1987
APN87,1988,1,0,0,0,1987
APR79,1980,1,0,0,0,1979
AQU83,1984,1,1,2,1.5,1983
AQU89,1990,1,1.75,1.75,1.75,1989
ARI91,1992,1,1.5,1,1.25,1991
ARI93,1994,1,1,1,1,1993
ASH76,1977,1,1,1,1,1976
ASP77,1978,1,0,0,0,1977
ASP83,1984,1,0,0,0,1983
AST95,1996,1,2,2,2,1995
ATH85,1986,1,0,0,0,1985
ATH91,1992,1,4,2,3,1991
AVO83,1984,1,5,5,5,1983
AVO84,1985,1,2,2,2,1984
AVO85,1986,1,0,0,0,1985
AVO87,1988,1,1,0.5,0.75,1987
BAR75,1976,1,2,2,2,1975
BAR76,1977,1,2,2,2,1976
BAR77,1978,1,3,3,3,1977
BAR82,1983,1,1,1,1,1982
BCL86,1987,1,1,1,1,1986
BET71,1972,1,6,6,6,1971
BET75,1976,1,4,4.5,4.25,1975
BET76,1977,1,1.5,1.5,1.5,1976
BET78,1979,1,1,1,1,1978
BIG74,1975,1,0,0,0,1974
BIL85,1986,1,0,0,0,1985
BIS84,1985,1,2.75,3.5,3.125,1984
BLO70,1971,1,1.5,1.5,1.5,1970
BLO77,1978,1,3,4,3.5,1977
BLO78,1979,1,1.5,1.5,1.5,1978
BLT71,1972,1,7,7,7,1971
BLT72,1973,1,2,3,2.5,1972
BLT76,1977,1,2,2,2,1976
BNX96,1997,1,0,0,0,1996
BON83,1984,1,1,1,1,1983
BRA74,1975,1,0,0,0,1974
BRA76,1977,1,0,0,0,1976
BRC76,1977,1,1,1,1,1976
BRC78,1979,1,0,0,0,1978
BRC82,1983,1,0,0,0,1982
BRF74,1975,1,2,2,2,1974
BRF76,1977,1,0.5,0.5,0.5,1976
BRF77,1978,1,0.25,1,0.625,1977
BRG90,1991,1,4,4,4,1990
BRG92,1993,1,0,0,0,1992
BRG95,1996,1,0,0,0,1995
BRG96,1997,1,0,0,0,1996
BRI85,1986,1,0,0,0,1985
BRO71,1972,1,0,0,0,1971
BST74,1975,1,0.5,0.5,0.5,1974
BST75,1976,1,0,0,0,1975
BUC87,1988,1,0,0,0,1987
BUL72,1973,1,4,4,4,1972
CAI70,1971,1,7.5,7.5,7.5,1970
CAI71,1972,1,5,5,5,1971
CAI72,1973,1,6,6,6,1972
CAI74,1975,1,0.25,0.25,0.25,1974
CAN85,1986,1,2.5,2.5,2.5,1985
CAN89,1990,1,0,0,0,1989
CAR84,1985,1,2,2,2,1984
CCO91,1992,1,1,1,1,1991
CCO95,1996,1,2,3,2.5,1995
CFU84,1985,1,5,5,5,1984
CFU85,1986,1,0,0,0,1985
CFU87,1988,1,1.5,1.5,1.5,1987
CHE72,1973,1,1,1,1,1972
CHE75,1976,1,1,1,1,1975
CHE76,1977,1,1,1,1,1976
CHE77,1978,1,0,0,0,1977
CHE82,1983,1,0.5,0.5,0.5,1982
CHI92,1993,1,2,2,2,1992
CHL96,1997,1,0.5,0.5,0.5,1996
CHO70,1971,1,8,4,6,1970
CHO72,1973,1,7,7,7,1972
CHO76,1977,1,0,0,0,1976
CHO77,1978,1,0,0,0,1977
CHU95,1996,1,2,2,2,1995
CIN80,1981,1,0.5,0.5,0.5,1980
CLC77,1978,1,1,1,1,1977
CLC83,1984,1,3,3,3,1983
CLE72,1973,1,1.5,0,0.75,1972
CLE73,1974,1,4,4,4,1973
CLM79,1980,1,0,0,0,1979
CLM84,1985,1,0.5,0.5,0.5,1984
CLO95,1996,1,2.5,2.5,2.5,1995
CLT95,1996,1,1,1,1,1995
CLT96,1997,1,1,1,1,1996
COB77,1978,1,2,4,3,1977
COB79,1980,1,1,1,1,1979
COB86,1987,1,2,1,1.5,1986
COC74,1975,1,3,0.75,1.875,1974
COC77,1978,1,8,7,7.5,1977
COC83,1984,1,0,0,0,1983
COL73,1974,1,0,0,0,1973
COL76,1977,1,0,0,0,1976
COP83,1984,1,0,0,0,1983
COW80,1981,1,7,4.5,5.75,1980
COY71,1972,1,3,6,4.5,1971
COY72,1973,1,0.5,0.5,0.5,1972
COY73,1974,1,0,0,0,1973
COY76,1977,1,0,0,0,1976
CRA84,1985,1,1,1,1,1984
CRB90,1991,1,1,1,1,1990
CRE80,1981,1,2,2,2,1980
CRT72,1973,1,5,6,5.5,1972
CRT77,1978,1,0,0,0,1977
CRY90,1991,1,6,7,6.5,1990
CSK93,1994,1,1,1,1,1993
CSK95,1996,1,4,4,4,1995
CSK96,1997,1,1,1,1,1996
CUC87,1988,1,3,3,3,1987
CUK88,1989,1,2,2,2,1988
CUM95,1996,1,2,2,2,1995
CUR81,1982,1,5,5,5,1981
CUR85,1986,1,0,0,0,1985
DAN89,1990,1,0,0,0,1989
DEC81,1982,1,1,1,1,1981
DIA96,1997,1,4,4,4,1996
DIC90,1991,1,2,2,2,1990
DIT91,1992,1,0,0,0,1991
DOC93,1994,1,3.25,3.5,3.375,1993
DOC95,1996,1,0,0,0,1995
DOR75,1976,1,1.5,0.5,1,1975
DOR77,1978,1,1,1,1,1977
DOR80,1981,1,2.75,4.25,3.5,1980
DOR83,1984,1,1,1,1,1983
DOR85,1986,1,1,1,1,1985
DUI87,1988,1,1.5,1.5,1.5,1987
DUN89,1990,1,4,3.5,3.75,1989
ECL87,1988,1,1.75,1.75,1.75,1987
EGR93,1994,1,1,1,1,1993
EGR95,1996,1,0,0,0,1995
FAN85,1986,1,0,0,0,1985
FEA92,1993,1,1,1,1,1992
FEA93,1994,1,1,0,0.5,1993
FEE70,1971,1,1.5,1.5,1.5,1970
FEE72,1973,1,2,3,2.5,1972
FEE73,1974,1,0,0,0,1973
FEN86,1987,1,6,6,6,1986
FEN91,1992,1,5,5,5,1991
