Code,Sex,BirthDay,BirthMonth,BirthYear,Expr1005,BirthWt,MumCode,MumAge,DaysFrom1May,MotherStatus
ABA14,2,13,6,2014,HIA09,6.240000191,HIA09,5,43,Naive
ABA16,1,24,5,2016,HIA09,5.379999905,HIA09,7,23,True yeld
ABA17,1,29,5,2017,HIA09,4.680000095,HIA09,8,28,Milk
ABA19,2,24,5,2019,HIA09,5.38,HIA09,10,23,True yeld
ABA20,2,26,5,2020,HIA09,6.109999809,HIA09,11,25,Milk
ABA21,1,27,5,2021,HIA09,5.419999905,HIA09,12,26,Winter yeld
ABA22,2,8,6,2022,HIA09,5.275,HIA09,13,38,Winter yeld
ABA23,1,10,6,2023,HIA09,5.225000191,HIA09,14,40,Winter yeld
ABS04,1,6,7,2004,IVO99,6.820000095,IVO99,5,66,Naive
ABS06,1,11,6,2006,IVO99,6.839999809,IVO99,7,41,True yeld
ABS08,2,30,5,2008,IVO99,5.780000191,IVO99,9,29,True yeld
ABS11,1,25,8,2011,IVO99,6.580000191,IVO99,12,116,True yeld
ABS14,2,26,5,2014,IVO99,8.039999619,IVO99,15,25,Summer yeld
ACA10,2,6,6,2010,GKG07,6.955,GKG07,3,36,Naive
ACO23,2,29,5,2023,PUE18,5.180000095,PUE18,5,28,True yeld
ADI20,2,4,6,2020,QTZ16,4.739999905,QTZ16,4,34,Naive
ADI21,1,26,6,2021,QTZ16,5.979999809,QTZ16,5,56,Winter yeld
ADI23,1,26,5,2023,QTZ16,5.940000191,QTZ16,7,25,True yeld
ADZ80,1,10,7,1980,MOY74,4.979999809,MOY74,6,70,Milk
ADZ81,1,1,6,1981,MOY74,7.519999809,MOY74,7,31,Summer yeld
AGO20,2,28,5,2020,CPY16,6.070000095,CPY16,4,27,Naive
AGO21,1,4,6,2021,CPY16,6.355000095,CPY16,5,34,Winter yeld
AGO22,2,11,6,2022,CPY16,7.455,CPY16,6,41,Winter yeld
AGO23,2,8,6,2023,CPY16,6.455,CPY16,7,38,Winter yeld
ALB91,1,6,6,1991,FUL87,5.600000095,FUL87,4,36,Naive
ALB92,2,7,6,1992,FUL87,5.039999905,FUL87,5,37,Winter yeld
ALB93,1,21,6,1993,FUL87,7.710000191,FUL87,6,51,Summer yeld
ALB94,1,6,6,1994,FUL87,6.895,FUL87,7,36,Milk
ALB95,2,7,6,1995,FUL87,8.455,FUL87,8,37,Milk
ALB97,2,11,6,1997,FUL87,7.524999905,FUL87,10,41,True yeld
ALC89,1,6,6,1989,OCC85,6.680000095,OCC85,4,36,Naive
ALC91,2,4,6,1991,OCC85,7.84,OCC85,6,34,True yeld
ALD01,1,4,6,2001,SUR87,7.120000191,SUR87,14,34,True yeld
ALD03,1,8,6,2003,SUR87,6.395,SUR87,16,38,True yeld
ALD06,1,30,7,2006,SUR87,8.080000191,SUR87,19,90,True yeld
ALD91,1,30,5,1991,SUR87,6.094999809,SUR87,4,29,Naive
ALD93,2,7,6,1993,SUR87,7.340000095,SUR87,6,37,True yeld
ALD94,1,29,5,1994,SUR87,6.280000095,SUR87,7,28,Milk
ALD95,1,8,6,1995,SUR87,6.35,SUR87,8,38,Milk
ALD96,2,18,6,1996,SUR87,7.419999905,SUR87,9,48,Milk
ALD98,1,24,5,1998,SUR87,6.540000095,SUR87,11,23,True yeld
ALD99,2,4,6,1999,SUR87,7.225000191,SUR87,12,34,Milk
ALI13,2,26,5,2013,EMB08,7.479999905,EMB08,5,25,Naive
ALL11,1,29,5,2011,PUF06,5.019999905,PUF06,5,28,Naive
ALL13,1,6,6,2013,PUF06,4.474999809,PUF06,7,36,Milk
ALL15,2,13,6,2015,PUF06,4.929999809,PUF06,9,43,True yeld
ALL16,2,30,5,2016,PUF06,5.339999809,PUF06,10,29,Milk
ALL17,1,31,5,2017,PUF06,5.379999905,PUF06,11,30,Winter yeld
ALL18,1,7,6,2018,PUF06,4.624999809,PUF06,12,37,Milk
ALL19,1,23,5,2019,PUF06,6.440000191,PUF06,13,22,Summer yeld
ALL20,2,4,6,2020,PUF06,6.240000191,PUF06,14,34,Milk
ALL21,2,13,7,2021,PUF06,6.320000095,PUF06,15,73,Winter yeld
ALL23,1,31,5,2023,PUF06,5.509999905,PUF06,17,30,True yeld
ALO18,2,11,6,2018,CRX14,6.195000191,CRX14,4,41,Naive
ALO20,2,27,5,2020,CRX14,7.810000095,CRX14,6,26,True yeld
ALO22,1,30,5,2022,CRX14,8.14,CRX14,8,29,True yeld
ALO23,1,31,5,2023,CRX14,7.759999809,CRX14,9,30,Milk
AMC16,2,28,5,2016,USS12,6.7,USS12,4,27,Naive
AMC18,1,4,6,2018,USS12,5.839999809,USS12,6,34,True yeld
AMC21,2,29,5,2021,USS12,7.380000381,USS12,9,28,Summer yeld
AME12,2,1,6,2012,OPA08,5.91,OPA08,4,31,Naive
AME13,2,27,5,2013,OPA08,5.680000095,OPA08,5,26,Summer yeld
AME15,1,23,5,2015,OPA08,4.900000095,OPA08,7,22,True yeld
AME16,2,25,6,2016,OPA08,6.38,OPA08,8,55,Milk
