Code,FWSurvival,DeerYear,Sex,BirthWt,MumCode,MotherStatus,MumAge
TAA98,0,1998,2,7.72,ALB93,Summer yeld,5
MRN98,1,1998,1,5.04,ALB94,Naive,4
MRN99,0,1999,2,5.48,ALB94,Milk,5
MRN01,0,2001,2,6.72,ALB94,True yeld,7
KRB04,0,2004,2,4.84,ALD01,Naive,3
KRB05,0,2005,1,5.85,ALD01,Winter yeld,4
ZAN98,1,1998,1,7.08,ALD91,True yeld,7
ETN97,1,1997,2,6.98,ALD94,Naive,3
ETN01,1,2001,2,6.56,ALD94,Milk,7
ETN03,1,2003,2,8.48,ALD94,True yeld,9
FIJ98,0,1998,1,5.14,ALD95,Naive,3
ARD02,1,2002,2,6.38,ALD98,Naive,4
ARD04,0,2004,2,6.48,ALD98,True yeld,6
AUK17,0,2017,2,5.96,ALL13,Naive,4
CSK93,1,1993,2,6.62,ANK89,Naive,4
CSK95,1,1995,2,5.82,ANK89,Summer yeld,6
CSK97,1,1997,1,6.26,ANK89,Milk,8
CSK98,1,1998,1,7.56,ANK89,Milk,9
CSK99,1,1999,2,7.02,ANK89,Milk,10
CSK01,0,2001,2,6.74,ANK89,True yeld,12
CSK03,0,2003,2,6.88,ANK89,True yeld,14
FLG97,1,1997,1,6.74,ANK90,Summer yeld,7
FLG98,1,1998,1,6.74,ANK90,Milk,8
FLG00,1,2000,2,6.2,ANK90,True yeld,10
COO96,0,1996,1,5.05,ANK91,Summer yeld,5
COO97,1,1997,2,6.68,ANK91,Winter yeld,6
COO98,1,1998,1,5.76,ANK91,Milk,7
ORA07,0,2007,1,6.68,ANM02,Naive,5
ORA09,1,2009,1,7.54,ANM02,True yeld,7
ORA12,0,2012,2,6.86,ANM02,Summer yeld,10
ORA14,1,2014,2,,ANM02,Summer yeld,12
URC13,1,2013,2,6.58,ANM06,True yeld,7
URC16,0,2016,2,7.68,ANM06,Milk,10
URC18,0,2018,2,4.54,ANM06,True yeld,12
COM14,1,2014,1,5.99,APA10,Naive,4
COM16,1,2016,1,6.04,APA10,True yeld,6
COM18,1,2018,1,6,APA10,Summer yeld,8
COM19,1,2019,1,6.91,APA10,Milk,9
COM20,1,2020,1,5.74,APA10,Milk,10
COM21,1,2021,1,5.14,APA10,Milk,11
VEN94,1,1994,1,5.79,APH91,Naive,3
VEN95,0,1995,2,6.01,APH91,Milk,4
NYM98,1,1998,1,6.32,APH95,Naive,3
MED01,0,2001,2,3.62,APH98,Naive,3
PAW19,1,2019,2,7.2,APO15,Naive,4
LIA16,0,2016,2,6.43,ARA09,True yeld,7
